Beta;Mach;AoA;Re/1e6;CL;CDo;CDi;CDtot;CDt;CDtot_t;CS;L/D;E;CFx;CFy;CFz;CMx;CMy;CMz;CMl;CMm;CMn;FOpt
0;0;-27.75;0.135359;-1.30137122;0.0645389155;0.189394881;0.811885504;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-27.5;0.135359;-1.30387764;0.0645389155;0.189394881;0.788533462;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-27.25;0.135359;-1.30791669;0.0645389155;0.189394881;0.765657503;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-27;0.135359;-1.31337518;0.0645389155;0.189394881;0.743257628;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-26.75;0.135359;-1.32013996;0.0645389155;0.189394881;0.721333837;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-26.5;0.135359;-1.32809784;0.0645389155;0.189394881;0.699886129;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-26.25;0.135359;-1.33713565;0.0645389155;0.189394881;0.678914505;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-26;0.135359;-1.34714022;0.0645389155;0.189394881;0.658418964;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.125803392;-0.000434802094;1.2660573e-05;0.125803392;0.000434802094;0
0;0;-25.75;0.135359;-1.35799838;0.0645389155;0.189394881;0.638399507;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.126122817;-0.000434802094;1.2660573e-05;0.126122817;0.000434802094;0
0;0;-25.5;0.135359;-1.36959696;0.0645389155;0.189394881;0.618856133;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.127052475;-0.000434802094;1.2660573e-05;0.127052475;0.000434802094;0
0;0;-25.25;0.135359;-1.38182278;0.0645389155;0.189394881;0.599788844;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.128549445;-0.000434802094;1.2660573e-05;0.128549445;0.000434802094;0
0;0;-25;0.135359;-1.39456267;0.0645389155;0.189394881;0.581197637;0.198317046;0.262855961;-3.699969e-06;-5.90906222;1.41116518;-0.222177884;-3.699969e-06;-1.50554024;-1.2660573e-05;0.130570803;-0.000434802094;1.2660573e-05;0.130570803;0.000434802094;0
